"","ID","Model","AIC","AICc","BIC","Response.var","Response.group","Curve.classification"
"196","40","Yan and Hunt","-27.4951897203547","-14.1618563870214","-27.0979820119555","respiration rate","Respiration","non-typical"
"197","40","Briere2","-21.2620598223694","-7.92872648903605","-20.8648521139702","respiration rate","Respiration","non-typical"
"198","40","Briere",NA,NA,NA,"respiration rate","Respiration","non-typical"
"199","40","Cubic","-26.8952832819387","-13.5619499486054","-26.4980755735395","respiration rate","Respiration","non-typical"
"200","40","Quadratic","-27.425531318902","-21.425531318902","-27.1077651521826","respiration rate","Respiration","non-typical"
"201","41","Yan and Hunt","-20.6641637141471","-7.33083038081377","-20.2669560057479","gross photosynthesis rate","Photosynthesis","unimodal"
"202","41","Briere2","-20.5350031826533","-7.20166984932001","-20.1377954742542","gross photosynthesis rate","Photosynthesis","unimodal"
"203","41","Briere","-4.61692195559669","1.38307804440331","-4.29915578887735","gross photosynthesis rate","Photosynthesis","unimodal"
"204","41","Cubic","-20.6827416090086","-7.34940827567522","-20.2855339006094","gross photosynthesis rate","Photosynthesis","unimodal"
"205","41","Quadratic","-22.6625448120583","-16.6625448120583","-22.344778645339","gross photosynthesis rate","Photosynthesis","unimodal"
"206","42","Yan and Hunt","-17.7383975912486","-4.40506425791529","-17.3411898828494","net photosynthesis rate","Photosynthesis","unimodal"
"207","42","Briere2","-5.93700537409241","7.39632795924092","-5.53979766569323","net photosynthesis rate","Photosynthesis","unimodal"
"208","42","Briere",NA,NA,NA,"net photosynthesis rate","Photosynthesis","unimodal"
"209","42","Cubic","-17.1219770929008","-3.78864375956749","-16.7247693845016","net photosynthesis rate","Photosynthesis","unimodal"
"210","42","Quadratic","-17.6203958797551","-11.6203958797551","-17.3026297130357","net photosynthesis rate","Photosynthesis","unimodal"
"211","43","Yan and Hunt","-21.9775022839043","-8.64416895057096","-21.5802945755051","respiration rate","Respiration","rising"
"212","43","Briere2","-21.2730213728233","-7.93968803948992","-20.8758136644241","respiration rate","Respiration","rising"
"213","43","Briere","-21.0821537081747","-15.0821537081747","-20.7643875414554","respiration rate","Respiration","rising"
"214","43","Cubic","-25.3385698100287","-12.0052364766954","-24.9413621016295","respiration rate","Respiration","rising"
"215","43","Quadratic","-23.3929856863256","-17.3929856863256","-23.0752195196062","respiration rate","Respiration","rising"
"216","44","Yan and Hunt","-14.5554962224376","-1.22216288910428","-14.1582885140384","gross photosynthesis rate","Photosynthesis","unimodal"
"217","44","Briere2","-12.5074468425084","0.82588649082496","-12.1102391341092","gross photosynthesis rate","Photosynthesis","unimodal"
"218","44","Briere",NA,NA,NA,"gross photosynthesis rate","Photosynthesis","unimodal"
"219","44","Cubic","-14.3037195350962","-0.970386201762874","-13.906511826697","gross photosynthesis rate","Photosynthesis","unimodal"
"220","44","Quadratic","-16.2758528574069","-10.2758528574069","-15.9580866906875","gross photosynthesis rate","Photosynthesis","unimodal"
"221","45","Yan and Hunt","-41.0596417216552","-27.7263083883219","-40.6624340132561","net photosynthesis rate","Photosynthesis","unimodal"
"222","45","Briere2","-10.5937615590183","2.73957177431502","-10.1965538506191","net photosynthesis rate","Photosynthesis","unimodal"
"223","45","Briere",NA,NA,NA,"net photosynthesis rate","Photosynthesis","unimodal"
"224","45","Cubic","-41.0499079377484","-27.7165746044151","-40.6527002293492","net photosynthesis rate","Photosynthesis","unimodal"
"225","45","Quadratic","-43.0391662042784","-37.0391662042784","-42.7214000375591","net photosynthesis rate","Photosynthesis","unimodal"
"226","46","Yan and Hunt","-15.9372414544286","-2.60390812109531","-15.5400337460295","respiration rate","Respiration","non-typical"
"227","46","Briere2","-11.3157433923402","2.01758994099316","-10.918535683941","respiration rate","Respiration","non-typical"
"228","46","Briere",NA,NA,NA,"respiration rate","Respiration","non-typical"
"229","46","Cubic","-16.2112660229913","-2.87793268965793","-15.8140583145921","respiration rate","Respiration","non-typical"
"230","46","Quadratic","-18.1687557991017","-12.1687557991017","-17.8509896323824","respiration rate","Respiration","non-typical"
"231","47","Yan and Hunt","-17.777462662577","-4.44412932924366","-17.3802549541778","gross photosynthesis rate","Photosynthesis","unimodal"
"232","47","Briere2","-15.2090507922438","-1.8757174589105","-14.8118430838447","gross photosynthesis rate","Photosynthesis","unimodal"
"233","47","Briere",NA,NA,NA,"gross photosynthesis rate","Photosynthesis","unimodal"
"234","47","Cubic","-19.7590698697401","-6.42573653640677","-19.3618621613409","gross photosynthesis rate","Photosynthesis","unimodal"
"235","47","Quadratic","-18.952032119968","-12.952032119968","-18.6342659532487","gross photosynthesis rate","Photosynthesis","unimodal"
"236","48","Yan and Hunt","-21.051794058948","-7.71846072561469","-20.6545863505488","net photosynthesis rate","Photosynthesis","unimodal"
"237","48","Briere2","-11.6959033803653","1.63742995296802","-11.2986956719661","net photosynthesis rate","Photosynthesis","unimodal"
"238","48","Briere","-0.0255945174463452","5.97440548255365","0.292171649272998","net photosynthesis rate","Photosynthesis","unimodal"
"239","48","Cubic","-21.6409728389253","-8.30763950559196","-21.2437651305261","net photosynthesis rate","Photosynthesis","unimodal"
"240","48","Quadratic","-20.4746600353806","-14.4746600353806","-20.1568938686613","net photosynthesis rate","Photosynthesis","unimodal"
"241","49","Yan and Hunt","-14.0201266870764","-0.686793353743063","-13.6229189786772","respiration rate","Respiration","non-typical"
"242","49","Briere2","-12.4770026256406","0.856330707692688","-12.0797949172415","respiration rate","Respiration","non-typical"
"243","49","Briere","-8.87956972383235","-2.87956972383235","-8.56180355711301","respiration rate","Respiration","non-typical"
